,AGE,ATTRITION,BUSINESS_TRAVEL,DISTANCE_FROM_HOME,EDUCATION,EDUCATION_FIELD,ENVIRONMENT_SATISFACTION,GENDER,JOB_INVOLVEMENT,JOB_LEVEL,JOB_ROLE,JOB_SATISFACTION,MARITAL_STATUS,MONTHLY_INCOME,MONTHLY_RATE,NUM_COMPANIES_WORKED,OVER_TIME,PERCENT_SALARY_HIKE,PERFORMANCE_RATING,RELATIONSHIP_SATISFACTION,STOCK_OPTION_LEVEL,TOTAL_WORKING_YEARS,TRAINING_TIMES_LAST_YEAR,WORK_LIFE_BALANCE,YEARS_AT_COMPANY,YEARS_SINCE_LAST_PROMOTION,YEARS_WITH_CURR_MANAGER,DATE_BIRTH,REMOTE_WORK
0,51,No,,6,3,,1,0,3,5,research_director,3,,19537.0,6462,7,No,13,3.0,3,0,,5,3.0,20,15,15,1972,yes
1,52,No,,1,4,life_sciences,3,0,2,5,manager,3,,19999.0,5678,0,,14,3.0,1,1,34.0,5,3.0,33,11,9,1971,yes
2,42,No,travel_rarely,4,2,technical_degree,3,0,3,5,manager,4,married,19232.0,4933,1,No,11,3.0,4,0,22.0,3,,22,11,15,1981,yes
3,47,No,travel_rarely,2,4,medical,1,1,3,4,research_director,3,married,17169.0,26703,3,,19,3.0,2,2,,2,,20,5,6,1976,no
4,46,No,,3,3,technical_degree,1,1,4,4,sales_executive,1,divorced,15341.0,7739,2,No,12,3.0,4,1,,5,3.0,19,2,8,1977,no
5,48,No,,22,3,medical,4,1,3,4,manager,4,,17174.0,2437,3,No,11,3.0,2,1,,3,3.0,22,4,7,1975,yes
6,59,No,,25,3,life_sciences,1,1,3,3,sales_executive,1,,10007.0,2354,7,,11,3.0,4,0,28.0,3,2.0,21,7,9,1964,yes
7,42,No,travel_rarely,1,1,,2,0,3,2,sales_executive,3,married,5304.0,24532,1,No,25,4.0,3,0,20.0,3,3.0,20,11,6,1981,no
8,41,No,,2,5,,2,1,3,4,manager,1,married,16595.0,5626,7,No,16,3.0,2,1,22.0,2,3.0,18,11,8,1982,yes
9,41,No,travel_frequently,9,3,,1,0,3,5,research_director,3,,19132.0,3735,2,No,17,3.0,2,1,21.0,2,4.0,18,0,11,1982,no
10,41,No,non-travel,7,1,,2,1,1,5,research_director,3,,19973.0,20284,1,No,22,4.0,2,2,,3,3.0,21,5,10,1982,no
